Fields,Geometry,BoundingBox,X,Y,id,left,top,right,bottom
1,'Polygon',"[-93.5317857069799,44.0779986123986;-93.5317107069799,44.0780066123986]","[-93.5317857069799,-93.5317107069799,-93.5317107069799,-93.5317857069799,-93.5317857069799,NaN]","[44.0780066123986,44.0780066123986,44.0779986123986,44.0779986123986,44.0780066123986,NaN]",20,-93.53020289,44.07691859,-93.53012789,44.07691059
2,'Polygon',"[-93.5322600016031,44.0779373756748;-93.5321850016031,44.0779453756748]","[-93.5322600016031,-93.5321850016031,-93.5321850016031,-93.5322600016031,-93.5322600016031,NaN]","[44.0779453756748,44.0779453756748,44.0779373756748,44.0779373756748,44.0779453756748,NaN]",21,-93.53020289,44.07691059,-93.53012789,44.07690259
3,'Polygon',"[-93.5325043508513,44.0778751719430;-93.5324293508513,44.0778831719430]","[-93.5325043508513,-93.5324293508513,-93.5324293508513,-93.5325043508513,-93.5325043508513,NaN]","[44.0778831719430,44.0778831719430,44.0778751719430,44.0778751719430,44.0778831719430,NaN]",22,-93.53020289,44.07690259,-93.53012789,44.07689459
4,'Polygon',"[-93.5320983945644,44.0778147357285;-93.5320233945644,44.0778227357285]","[-93.5320983945644,-93.5320233945644,-93.5320233945644,-93.5320983945644,-93.5320983945644,NaN]","[44.0778227357285,44.0778227357285,44.0778147357285,44.0778147357285,44.0778227357285,NaN]",23,-93.53020289,44.07689459,-93.53012789,44.07688659
5,'Polygon',"[-93.5316458693771,44.0777542679463;-93.5315708693771,44.0777622679463]","[-93.5316458693771,-93.5315708693771,-93.5315708693771,-93.5316458693771,-93.5316458693771,NaN]","[44.0777622679463,44.0777622679463,44.0777542679463,44.0777542679463,44.0777622679463,NaN]",24,-93.53020289,44.07688659,-93.53012789,44.07687859
6,'Polygon',"[-93.5319429583227,44.0776922820110;-93.5318679583227,44.0777002820110]","[-93.5319429583227,-93.5318679583227,-93.5318679583227,-93.5319429583227,-93.5319429583227,NaN]","[44.0777002820110,44.0777002820110,44.0776922820110,44.0776922820110,44.0777002820110,NaN]",25,-93.53020289,44.07687859,-93.53012789,44.07687059
7,'Polygon',"[-93.5323127734446,44.0776315999964;-93.5322377734446,44.0776395999964]","[-93.5323127734446,-93.5322377734446,-93.5322377734446,-93.5323127734446,-93.5323127734446,NaN]","[44.0776395999964,44.0776395999964,44.0776315999964,44.0776315999964,44.0776395999964,NaN]",26,-93.53020289,44.07687059,-93.53012789,44.07686259
8,'Polygon',"[-93.5321155293108,44.0775705115635;-93.5320405293108,44.0775785115635]","[-93.5321155293108,-93.5320405293108,-93.5320405293108,-93.5321155293108,-93.5321155293108,NaN]","[44.0775785115635,44.0775785115635,44.0775705115635,44.0775705115635,44.0775785115635,NaN]",27,-93.53020289,44.07686259,-93.53012789,44.07685459
9,'Polygon',"[-93.5318768021079,44.0775097261920;-93.5318018021079,44.0775177261920]","[-93.5318768021079,-93.5318018021079,-93.5318018021079,-93.5318768021079,-93.5318768021079,NaN]","[44.0775177261920,44.0775177261920,44.0775097261920,44.0775097261920,44.0775177261920,NaN]",28,-93.53020289,44.07685459,-93.53012789,44.07684659
10,'Polygon',"[-93.5315662757595,44.0774496320768;-93.5314912757595,44.0774576320768]","[-93.5315662757595,-93.5314912757595,-93.5314912757595,-93.5315662757595,-93.5315662757595,NaN]","[44.0774576320768,44.0774576320768,44.0774496320768,44.0774496320768,44.0774576320768,NaN]",29,-93.53020289,44.07684659,-93.53012789,44.07683859
11,'Polygon',"[-93.5317473729940,44.0773896360518;-93.5316723729940,44.0773976360518]","[-93.5317473729940,-93.5316723729940,-93.5316723729940,-93.5317473729940,-93.5317473729940,NaN]","[44.0773976360518,44.0773976360518,44.0773896360518,44.0773896360518,44.0773976360518,NaN]",30,-93.53020289,44.07683859,-93.53012789,44.07683059
12,'Polygon',"[-93.5320962747434,44.0773305746570;-93.5320212747434,44.0773385746570]","[-93.5320962747434,-93.5320212747434,-93.5320212747434,-93.5320962747434,-93.5320962747434,NaN]","[44.0773385746570,44.0773385746570,44.0773305746570,44.0773305746570,44.0773385746570,NaN]",31,-93.53020289,44.07683059,-93.53012789,44.07682259
13,'Polygon',"[-93.5324159669603,44.0772696301188;-93.5323409669603,44.0772776301188]","[-93.5324159669603,-93.5323409669603,-93.5323409669603,-93.5324159669603,-93.5324159669603,NaN]","[44.0772776301188,44.0772776301188,44.0772696301188,44.0772696301188,44.0772776301188,NaN]",32,-93.53020289,44.07682259,-93.53012789,44.07681459
14,'Polygon',"[-93.5314722419186,44.0772083292108;-93.5313972419186,44.0772163292108]","[-93.5314722419186,-93.5313972419186,-93.5313972419186,-93.5314722419186,-93.5314722419186,NaN]","[44.0772163292108,44.0772163292108,44.0772083292108,44.0772083292108,44.0772163292108,NaN]",33,-93.53020289,44.07681459,-93.53012789,44.07680659
15,'Polygon',"[-93.5320686437441,44.0771480696082;-93.5319936437441,44.0771560696082]","[-93.5320686437441,-93.5319936437441,-93.5319936437441,-93.5320686437441,-93.5320686437441,NaN]","[44.0771560696082,44.0771560696082,44.0771480696082,44.0771480696082,44.0771560696082,NaN]",34,-93.53020289,44.07680659,-93.53012789,44.07679859
16,'Polygon',"[-93.5317099173641,44.0770870345978;-93.5316349173641,44.0770950345978]","[-93.5317099173641,-93.5316349173641,-93.5316349173641,-93.5317099173641,-93.5317099173641,NaN]","[44.0770950345978,44.0770950345978,44.0770870345978,44.0770870345978,44.0770950345978,NaN]",35,-93.53020289,44.07679859,-93.53012789,44.07679059
17,'Polygon',"[-93.5319429933908,44.0770254173006;-93.5318679933909,44.0770334173006]","[-93.5319429933908,-93.5318679933909,-93.5318679933909,-93.5319429933908,-93.5319429933908,NaN]","[44.0770334173006,44.0770334173006,44.0770254173006,44.0770254173006,44.0770334173006,NaN]",36,-93.53020289,44.07679059,-93.53012789,44.07678259
18,'Polygon',"[-93.5323329872930,44.0769650042968;-93.5322579872930,44.0769730042968]","[-93.5323329872930,-93.5322579872930,-93.5322579872930,-93.5323329872930,-93.5323329872930,NaN]","[44.0769730042968,44.0769730042968,44.0769650042968,44.0769650042968,44.0769730042968,NaN]",37,-93.53020289,44.07678259,-93.53012789,44.07677459
19,'Polygon',"[-93.5315761654186,44.0769024289178;-93.5315011654186,44.0769104289178]","[-93.5315761654186,-93.5315011654186,-93.5315011654186,-93.5315761654186,-93.5315761654186,NaN]","[44.0769104289178,44.0769104289178,44.0769024289178,44.0769024289178,44.0769104289178,NaN]",38,-93.53020289,44.07677459,-93.53012789,44.07676659
20,'Polygon',"[-93.5312507813274,44.0768398320073;-93.5311757813274,44.0768478320073]","[-93.5312507813274,-93.5311757813274,-93.5311757813274,-93.5312507813274,-93.5312507813274,NaN]","[44.0768478320073,44.0768478320073,44.0768398320073,44.0768398320073,44.0768478320073,NaN]",39,-93.53020289,44.07676659,-93.53012789,44.07675859
