Fields,Geometry,BoundingBox,X,Y,id,left,top,right,bottom
1,'Polygon',"[-93.5297528131762,44.0780327983231;-93.5297498131762,44.0780357983231]","[-93.5297528131762,-93.5297498131762,-93.5297498131762,-93.5297528131762,-93.5297528131762,NaN]","[44.0780357983231,44.0780357983231,44.0780327983231,44.0780327983231,44.0780357983231,NaN]",1,-93.53085828,44.07785922,-93.53085528,44.07785622
2,'Polygon',"[-93.5301119978732,44.0780434776980;-93.5301089978732,44.0780464776980]","[-93.5301119978732,-93.5301089978732,-93.5301089978732,-93.5301119978732,-93.5301119978732,NaN]","[44.0780464776980,44.0780464776980,44.0780434776980,44.0780434776980,44.0780464776980,NaN]",2,-93.53085828,44.07785622,-93.53085528,44.07785322
3,'Polygon',"[-93.5303672617452,44.0780423893579;-93.5303642617452,44.0780453893579]","[-93.5303672617452,-93.5303642617452,-93.5303642617452,-93.5303672617452,-93.5303672617452,NaN]","[44.0780453893579,44.0780453893579,44.0780423893579,44.0780423893579,44.0780453893579,NaN]",3,-93.53085828,44.07785322,-93.53085528,44.07785022
4,'Polygon',"[-93.5306120368659,44.0780419406356;-93.5306090368659,44.0780449406356]","[-93.5306120368659,-93.5306090368659,-93.5306090368659,-93.5306120368659,-93.5306120368659,NaN]","[44.0780449406356,44.0780449406356,44.0780419406356,44.0780419406356,44.0780449406356,NaN]",4,-93.53085828,44.07785022,-93.53085528,44.07784722
5,'Polygon',"[-93.5308639308367,44.0780399639151;-93.5308609308367,44.0780429639151]","[-93.5308639308367,-93.5308609308367,-93.5308609308367,-93.5308639308367,-93.5308639308367,NaN]","[44.0780429639151,44.0780429639151,44.0780399639151,44.0780399639151,44.0780429639151,NaN]",5,-93.53085828,44.07784722,-93.53085528,44.07784422
6,'Polygon',"[-93.5311360765144,44.0780382849502;-93.5311330765144,44.0780412849502]","[-93.5311360765144,-93.5311330765144,-93.5311330765144,-93.5311360765144,-93.5311360765144,NaN]","[44.0780412849502,44.0780412849502,44.0780382849502,44.0780382849502,44.0780412849502,NaN]",6,-93.53085828,44.07784422,-93.53085528,44.07784122
7,'Polygon',"[-93.5311273809452,44.0777955213204;-93.5311243809452,44.0777985213204]","[-93.5311273809452,-93.5311243809452,-93.5311243809452,-93.5311273809452,-93.5311273809452,NaN]","[44.0777985213204,44.0777985213204,44.0777955213204,44.0777955213204,44.0777985213204,NaN]",7,-93.53085828,44.07784122,-93.53085528,44.07783822
8,'Polygon',"[-93.5311335624223,44.0775860004338;-93.5311305624223,44.0775890004338]","[-93.5311335624223,-93.5311305624223,-93.5311305624223,-93.5311335624223,-93.5311335624223,NaN]","[44.0775890004338,44.0775890004338,44.0775860004338,44.0775860004338,44.0775890004338,NaN]",8,-93.53085828,44.07783822,-93.53085528,44.07783522
9,'Polygon',"[-93.5311371287687,44.0773825192037;-93.5311341287687,44.0773855192037]","[-93.5311371287687,-93.5311341287687,-93.5311341287687,-93.5311371287687,-93.5311371287687,NaN]","[44.0773855192037,44.0773855192037,44.0773825192037,44.0773825192037,44.0773855192037,NaN]",9,-93.53085828,44.07783522,-93.53085528,44.07783222
10,'Polygon',"[-93.5311432719067,44.0771808240987;-93.5311402719067,44.0771838240987]","[-93.5311432719067,-93.5311402719067,-93.5311402719067,-93.5311432719067,-93.5311432719067,NaN]","[44.0771838240987,44.0771838240987,44.0771808240987,44.0771808240987,44.0771838240987,NaN]",10,-93.53085828,44.07783222,-93.53085528,44.07782922
