#Label,Lat,Lng,Height,Time,,,,
Plot1.1,44.0768397822,-93.5299449968,312.569,12.26.25,,,,
Plot1.2,44.0768362822,-93.5299449968,312.569,12.26.25,,,,
Plot1.3,44.0768394737,-93.5299834576,312.538,12.26.37,,,,
Plot1.4,44.0768359737,-93.5299834576,312.538,12.26.37,,,,
Plot2.1,44.0768994796,-93.5302328722,312.651,12.26.59,,,,
Plot2.2,44.0768959796,-93.5302328722,312.651,12.26.59,,,,
Plot2.3,44.0768992094,-93.5302703412,312.701,12.27.08,,,,
Plot2.4,44.0768957094,-93.5302703412,312.701,12.27.08,,,,
Plot3.1,44.0769587193,-93.5305389704,313.077,12.27.38,,,,
Plot3.2,44.0769552193,-93.5305389704,313.077,12.27.38,,,,
Plot3.3,44.0769588647,-93.5305764718,313.107,12.27.46,,,,
Plot3.4,44.0769588647,-93.5305764718,313.107,12.27.46,,,,
Plot4.1,44.0770203382,-93.5308069614,313.307,12.28.13,,,,
Plot4.2,44.0770168382,-93.5308069614,313.307,12.28.13,,,,
Plot4.3,44.0770207491,-93.5308441379,313.298,12.28.21,,,,
Plot4.4,44.0770172491,-93.5308441379,313.298,12.28.21,,,,
Plot5.1,44.0770806586,-93.5307721735,313.353,12.28.41,,,,
Plot5.2,44.0770771586,-93.5307721735,313.353,12.28.41,,,,
Plot5.3,44.0770808673,-93.5308088838,313.358,12.28.49,,,,
Plot5.4,44.0770773673,-93.5308088838,313.358,12.28.49,,,,
Plot6.1,44.0771429866,-93.5306538092,313.369,12.29.10,,,,
Plot6.2,44.0771429866,-93.5306538092,313.369,12.29.10,,,,
Plot6.3,44.0771432269,-93.5306925022,313.393,12.29.17,,,,
Plot6.4,44.0771397269,-93.5306925022,313.393,12.29.17,,,,
Plot7.1,44.0772039996,-93.5304588579,313.304,12.29.47,,,,
Plot7.2,44.0772004996,-93.5304588579,313.304,12.29.47,,,,
Plot7.3,44.0772037450,-93.5304956721,313.299,12.29.54,,,,
Plot7.4,44.0772002450,-93.5304956721,313.299,12.29.54,,,,
Plot8.1,44.0772644938,-93.5308976917,313.411,12.31.45,,,,
Plot8.2,44.0772609938,-93.5308976917,313.411,12.31.45,,,,
Plot8.3,44.0772648373,-93.5309367748,313.432,12.31.53,,,,
Plot8.4,44.0772613373,-93.5309367748,313.432,12.31.53,,,,
Plot9.1,44.0773273675,-93.5301318821,313.228,12.33.01,,,,
Plot9.2,44.0773238675,-93.5301318821,313.228,12.33.01,,,,
Plot9.3,44.0773273505,-93.5301684347,313.203,12.33.09,,,,
Plot9.4,44.0773238505,-93.5301684347,313.203,12.33.09,,,,
Plot10.1,44.0773882304,-93.5303377938,313.157,12.33.32,,,,
Plot10.2,44.0773847304,-93.5303377938,313.157,12.33.32,,,,
Plot10.3,44.0773879772,-93.5303750388,313.176,12.33.40,,,,
Plot10.4,44.0773844772,-93.5303750388,313.176,12.33.40,,,,
Plot11.1,44.0774500873,-93.5300519424,313.237,12.34.21,,,,
Plot11.2,44.0774465873,-93.5300519424,313.237,12.34.21,,,,
Plot11.3,44.0774505213,-93.5300888172,313.202,12.34.29,,,,
Plot11.4,44.0774470213,-93.5300888172,313.202,12.34.29,,,,
Plot12.1,44.0775112143,-93.5302515099,313.112,12.34.55,,,,
Plot12.2,44.0775077143,-93.5302515099,313.112,12.34.55,,,,
Plot12.3,44.0775112988,-93.5302908335,313.076,12.35.06,,,,
Plot12.4,44.0775077988,-93.5302908335,313.076,12.35.06,,,,
Plot13.1,44.0775712782,-93.5305775899,313.169,12.35.43,,,,
Plot13.2,44.0775677782,-93.5305775899,313.169,12.35.43,,,,
Plot13.3,44.0775719367,-93.5306177404,313.241,12.35.53,,,,
Plot13.4,44.0775684367,-93.5306177404,313.241,12.35.53,,,,
Plot14.1,44.0776333970,-93.5303920171,313.08,12.36.32,,,,
Plot14.2,44.0776298970,-93.5303920171,313.08,12.36.32,,,,
Plot14.3,44.0776331213,-93.5304309794,313.061,12.36.44,,,,
Plot14.4,44.0776296213,-93.5304309794,313.061,12.36.44,,,,
Plot15.1,44.0776928842,-93.5308820109,313.906,12.37.33,,,,
Plot15.2,44.0776893842,-93.5308820109,313.906,12.37.33,,,,
Plot15.3,44.0776922583,-93.5309193925,314.036,12.37.46,,,,
Plot15.4,44.0776887583,-93.5309193925,314.036,12.37.46,,,,
Plot16.1,44.0777552680,-93.5306585166,313.395,12.38.31,,,,
Plot16.2,44.0777517680,-93.5306585166,313.395,12.38.31,,,,
Plot16.3,44.0777551374,-93.5306968025,313.48,12.38.46,,,,
Plot16.4,44.0777516374,-93.5306968025,313.48,12.38.46,,,,
Plot17.1,44.0778169480,-93.5302457812,313.164,12.39.34,,,,
Plot17.2,44.0778134480,-93.5302457812,313.164,12.39.34,,,,
Plot17.3,44.0778172938,-93.5302832163,313.175,12.39.41,,,,
Plot17.4,44.0778137938,-93.5302832163,313.175,12.39.41,,,,
Plot18.1,44.0778767598,-93.5306503286,313.541,12.40.21,,,,
Plot18.2,44.0778732598,-93.5306503286,313.541,12.40.21,,,,
Plot18.3,44.0778768827,-93.5306881926,313.608,12.40.29,,,,
Plot18.4,44.0778733827,-93.5306881926,313.608,12.40.29,,,,
Plot19.1,44.0779388575,-93.5302318585,313.306,12.41.14,,,,
Plot19.2,44.0779353575,-93.5302318585,313.306,12.41.14,,,,
Plot19.3,44.0779384103,-93.5302701101,313.29,12.41.22,,,,
Plot19.4,44.0779349103,-93.5302701101,313.29,12.41.22,,,,
Plot20.1,44.0780006638,-93.5300441256,313.775,12.41.47,,,,
Plot20.2,44.0779971638,-93.5300441256,313.775,12.41.47,,,,
Plot20.3,44.0780009243,-93.5300828210,313.714,12.41.56,,,,
Plot20.4,44.0779974243,-93.5300828210,313.714,12.41.56,,,,
Plot21.1,44.0768403121,-93.5323018438,313.608,12.48.42,,,,
Plot21.2,44.0768368121,-93.5323018438,313.608,12.48.42,,,,
Plot21.3,44.0768404763,-93.5323388214,313.631,12.48.50,,,,
Plot21.4,44.0768369763,-93.5323388214,313.631,12.48.50,,,,
Plot22.1,44.0769008412,-93.5320920545,313.753,12.49.19,,,,
Plot22.2,44.0768973412,-93.5320920545,313.753,12.49.19,,,,
Plot22.3,44.0769010453,-93.5321330355,313.721,12.49.32,,,,
Plot22.4,44.0768975453,-93.5321330355,313.721,12.49.32,,,,
Plot23.1,44.0769546641,-93.5318905393,313.818,12.50.03,,,,
Plot23.2,44.0769511641,-93.5318905393,313.818,12.50.03,,,,
