#Label,Lat,Lng,Height,Time
Ground1,44.0767904036,-93.5297232543,318.261,10.41.18
Ground2,44.0767907500,-93.5300006651,317.99,10.41.57
Ground3,44.0767883253,-93.5302778822,317.985,10.42.21
Ground4,44.0767883606,-93.5305700235,318.151,10.42.46
Ground5,44.0767877447,-93.5308723643,318.274,10.43.10
Ground6,44.0767883906,-93.5311857825,318.636,10.43.35
Ground7,44.0767911877,-93.5315024505,318.818,10.43.58
Ground8,44.0767920669,-93.5318155782,318.975,10.50.28
Ground9,44.0767928957,-93.5321308840,319.052,10.50.52
Ground10,44.0767929638,-93.5324495695,319.057,10.51.15
Ground11,44.0767961525,-93.5327740356,319.179,10.51.41
Ground12,44.0770077156,-93.5327670416,319.734,10.52.04
Ground13,44.0772158845,-93.5327468551,320.344,10.52.28
Ground14,44.0774263842,-93.5327364529,321.224,10.52.52
Ground15,44.0776351493,-93.5327282570,322.564,10.53.15
Ground16,44.0778504386,-93.5327259930,323.993,10.53.40
Ground17,44.0780357717,-93.5327237079,324.458,10.54.03
Ground18,44.0780343764,-93.5324383620,324.514,10.54.25
Ground19,44.0780335534,-93.5321445180,324.177,10.54.51
Ground20,44.0780346331,-93.5318407736,323.802,10.55.15
Ground21,44.0780349303,-93.5315477907,323.19,10.55.40
Ground22,44.0780353963,-93.5312748823,322.243,10.56.03
Ground23,44.0780396983,-93.5309828787,320.831,10.56.28
Ground24,44.0780425723,-93.5307065146,319.52,10.56.52
Ground25,44.0780462349,-93.5304301079,319.049,10.57.16
Ground26,44.0780489642,-93.5301618939,319.183,10.57.38
Ground27,44.0780397497,-93.5297593531,320.267,10.58.10
Ground28,44.0778518538,-93.5297468649,319.914,10.58.35
Ground29,44.0776414994,-93.5297411279,319.478,10.59.00
Ground30,44.0774333371,-93.5297374529,319.097,10.59.21
Ground31,44.0772227960,-93.5297331217,318.753,10.59.45
Ground32,44.0770142768,-93.5297310773,318.487,11.00.09
Ground33,44.0770104834,-93.5312152117,319.059,11.01.46
Ground34,44.0772219128,-93.5312317107,319.207,11.02.10
Ground35,44.0774258993,-93.5312508776,319.878,11.02.35
Ground36,44.0776272556,-93.5312631529,320.699,11.02.59
Ground37,44.0778304200,-93.5312730413,321.705,11.03.23
