Fields,Geometry,BoundingBox,X,Y,id,left,top,right,bottom
1,'Polygon',"[-93.5372149856699,44.0656607120131;-93.5371399856699,44.0656687120131]","[-93.5372149856699,-93.5371399856699,-93.5371399856699,-93.5372149856699,-93.5372149856699,NaN]","[44.0656687120131,44.0656687120131,44.0656607120131,44.0656607120131,44.0656687120131,NaN]",1,-93.53731518,44.0654321,-93.53724018,44.0654241
2,'Polygon',"[-93.5373033897847,44.0656322577277;-93.5372283897847,44.0656402577277]","[-93.5373033897847,-93.5372283897847,-93.5372283897847,-93.5373033897847,-93.5373033897847,NaN]","[44.0656402577277,44.0656402577277,44.0656322577277,44.0656322577277,44.0656402577277,NaN]",2,-93.53731518,44.0654241,-93.53724018,44.0654161
3,'Polygon',"[-93.5377376099956,44.0656142039264;-93.5376626099956,44.0656222039264]","[-93.5377376099956,-93.5376626099956,-93.5376626099956,-93.5377376099956,-93.5377376099956,NaN]","[44.0656222039264,44.0656222039264,44.0656142039264,44.0656142039264,44.0656222039264,NaN]",3,-93.53731518,44.0654161,-93.53724018,44.0654081
4,'Polygon',"[-93.5386856141205,44.0656462457902;-93.5386106141205,44.0656542457902]","[-93.5386856141205,-93.5386106141205,-93.5386106141205,-93.5386856141205,-93.5386856141205,NaN]","[44.0656542457902,44.0656542457902,44.0656462457902,44.0656462457902,44.0656542457902,NaN]",4,-93.53731518,44.0654081,-93.53724018,44.0654001
5,'Polygon',"[-93.5394065410095,44.0655758428856;-93.5393315410095,44.0655838428856]","[-93.5394065410095,-93.5393315410095,-93.5393315410095,-93.5394065410095,-93.5394065410095,NaN]","[44.0655838428856,44.0655838428856,44.0655758428856,44.0655758428856,44.0655838428856,NaN]",5,-93.53731518,44.0654001,-93.53724018,44.0653921
6,'Polygon',"[-93.5396616536178,44.0654186665186;-93.5396536536178,44.0654936665186]","[-93.5396536536178,-93.5396536536178,-93.5396616536178,-93.5396616536178,-93.5396536536178,NaN]","[44.0654936665186,44.0654186665186,44.0654186665186,44.0654936665186,44.0654936665186,NaN]",6,-93.53731518,44.0653921,-93.53724018,44.0653841
7,'Polygon',"[-93.5396110642240,44.0650803041029;-93.5396030642240,44.0651553041029]","[-93.5396030642240,-93.5396030642240,-93.5396110642240,-93.5396110642240,-93.5396030642240,NaN]","[44.0651553041029,44.0650803041029,44.0650803041029,44.0651553041029,44.0651553041029,NaN]",7,-93.53731518,44.0653841,-93.53724018,44.0653761
8,'Polygon',"[-93.5395707019730,44.0648800947841;-93.5395627019730,44.0649550947841]","[-93.5395627019730,-93.5395627019730,-93.5395707019730,-93.5395707019730,-93.5395627019730,NaN]","[44.0649550947841,44.0648800947841,44.0648800947841,44.0649550947841,44.0649550947841,NaN]",8,-93.53731518,44.0653761,-93.53724018,44.0653681
9,'Polygon',"[-93.5394280682951,44.0648480266248;-93.5394200682951,44.0649230266248]","[-93.5394200682951,-93.5394200682951,-93.5394280682951,-93.5394280682951,-93.5394200682951,NaN]","[44.0649230266248,44.0648480266248,44.0648480266248,44.0649230266248,44.0649230266248,NaN]",9,-93.53731518,44.0653681,-93.53724018,44.0653601
10,'Polygon',"[-93.5393925596033,44.0650244881716;-93.5393845596033,44.0650994881716]","[-93.5393845596033,-93.5393845596033,-93.5393925596033,-93.5393925596033,-93.5393845596033,NaN]","[44.0650994881716,44.0650244881716,44.0650244881716,44.0650994881716,44.0650994881716,NaN]",10,-93.53731518,44.0653601,-93.53724018,44.0653521
11,'Polygon',"[-93.5393365966261,44.0651872557476;-93.5393285966261,44.0652622557476]","[-93.5393285966261,-93.5393285966261,-93.5393365966261,-93.5393365966261,-93.5393285966261,NaN]","[44.0652622557476,44.0651872557476,44.0651872557476,44.0652622557476,44.0652622557476,NaN]",11,-93.53731518,44.0653521,-93.53724018,44.0653441
12,'Polygon',"[-93.5392717932374,44.0653578236867;-93.5392637932374,44.0654328236867]","[-93.5392637932374,-93.5392637932374,-93.5392717932374,-93.5392717932374,-93.5392637932374,NaN]","[44.0654328236867,44.0653578236867,44.0653578236867,44.0654328236867,44.0654328236867,NaN]",12,-93.53731518,44.0653441,-93.53724018,44.0653361
13,'Polygon',"[-93.5392213771852,44.0648832149293;-93.5392133771852,44.0649582149293]","[-93.5392133771852,-93.5392133771852,-93.5392213771852,-93.5392213771852,-93.5392133771852,NaN]","[44.0649582149293,44.0648832149293,44.0648832149293,44.0649582149293,44.0649582149293,NaN]",13,-93.53731518,44.0653361,-93.53724018,44.0653281
14,'Polygon',"[-93.5391080382041,44.0649731791167;-93.5391000382041,44.0650481791167]","[-93.5391000382041,-93.5391000382041,-93.5391080382041,-93.5391080382041,-93.5391000382041,NaN]","[44.0650481791167,44.0649731791167,44.0649731791167,44.0650481791167,44.0650481791167,NaN]",14,-93.53731518,44.0653281,-93.53724018,44.0653201
15,'Polygon',"[-93.5390127267288,44.0649074827255;-93.5390047267288,44.0649824827255]","[-93.5390047267288,-93.5390047267288,-93.5390127267288,-93.5390127267288,-93.5390047267288,NaN]","[44.0649824827255,44.0649074827255,44.0649074827255,44.0649824827255,44.0649824827255,NaN]",15,-93.53731518,44.0653201,-93.53724018,44.0653121
16,'Polygon',"[-93.5389116949872,44.0654488279225;-93.5389036949872,44.0655238279225]","[-93.5389036949872,-93.5389036949872,-93.5389116949872,-93.5389116949872,-93.5389036949872,NaN]","[44.0655238279225,44.0654488279225,44.0654488279225,44.0655238279225,44.0655238279225,NaN]",16,-93.53731518,44.0653121,-93.53724018,44.0653041
17,'Polygon',"[-93.5388609322521,44.0652300710738;-93.5388529322521,44.0653050710738]","[-93.5388529322521,-93.5388529322521,-93.5388609322521,-93.5388609322521,-93.5388529322521,NaN]","[44.0653050710738,44.0652300710738,44.0652300710738,44.0653050710738,44.0653050710738,NaN]",17,-93.53731518,44.0653041,-93.53724018,44.0652961
18,'Polygon',"[-93.5388413709693,44.0649743925065;-93.5388333709693,44.0650493925065]","[-93.5388333709693,-93.5388333709693,-93.5388413709693,-93.5388413709693,-93.5388333709693,NaN]","[44.0650493925065,44.0649743925065,44.0649743925065,44.0650493925065,44.0650493925065,NaN]",18,-93.53731518,44.0652961,-93.53724018,44.0652881
19,'Polygon',"[-93.5387658204137,44.0648962155344;-93.5387578204137,44.0649712155344]","[-93.5387578204137,-93.5387578204137,-93.5387658204137,-93.5387658204137,-93.5387578204137,NaN]","[44.0649712155344,44.0648962155344,44.0648962155344,44.0649712155344,44.0649712155344,NaN]",19,-93.53731518,44.0652881,-93.53724018,44.0652801
20,'Polygon',"[-93.5386983302334,44.0650257448967;-93.5386903302334,44.0651007448967]","[-93.5386903302334,-93.5386903302334,-93.5386983302334,-93.5386983302334,-93.5386903302334,NaN]","[44.0651007448967,44.0650257448967,44.0650257448967,44.0651007448967,44.0651007448967,NaN]",20,-93.53731518,44.0652801,-93.53724018,44.0652721
21,'Polygon',"[-93.5386327468084,44.0652728863999;-93.5386247468084,44.0653478863999]","[-93.5386247468084,-93.5386247468084,-93.5386327468084,-93.5386327468084,-93.5386247468084,NaN]","[44.0653478863999,44.0652728863999,44.0652728863999,44.0653478863999,44.0653478863999,NaN]",21,-93.53731518,44.0652721,-93.53724018,44.0652641
22,'Polygon',"[-93.5385848442064,44.0649192699408;-93.5385768442064,44.0649942699408]","[-93.5385768442064,-93.5385768442064,-93.5385848442064,-93.5385848442064,-93.5385768442064,NaN]","[44.0649942699408,44.0649192699408,44.0649192699408,44.0649942699408,44.0649942699408,NaN]",22,-93.53731518,44.0652641,-93.53724018,44.0652561
23,'Polygon',"[-93.5385764634440,44.0654234334072;-93.5385684634440,44.0654984334072]","[-93.5385684634440,-93.5385684634440,-93.5385764634440,-93.5385764634440,-93.5385684634440,NaN]","[44.0654984334072,44.0654234334072,44.0654234334072,44.0654984334072,44.0654984334072,NaN]",23,-93.53731518,44.0652561,-93.53724018,44.0652481
24,'Polygon',"[-93.5384713581794,44.0651804520976;-93.5384633581794,44.0652554520976]","[-93.5384633581794,-93.5384633581794,-93.5384713581794,-93.5384713581794,-93.5384633581794,NaN]","[44.0652554520976,44.0651804520976,44.0651804520976,44.0652554520976,44.0652554520976,NaN]",24,-93.53731518,44.0652481,-93.53724018,44.0652401
25,'Polygon',"[-93.5384231955654,44.0650027338257;-93.5384151955654,44.0650777338257]","[-93.5384151955654,-93.5384151955654,-93.5384231955654,-93.5384231955654,-93.5384151955654,NaN]","[44.0650777338257,44.0650027338257,44.0650027338257,44.0650777338257,44.0650777338257,NaN]",25,-93.53731518,44.0652401,-93.53724018,44.0652321
26,'Polygon',"[-93.5383204304098,44.0654617851923;-93.5383124304098,44.0655367851923]","[-93.5383124304098,-93.5383124304098,-93.5383204304098,-93.5383204304098,-93.5383124304098,NaN]","[44.0655367851923,44.0654617851923,44.0654617851923,44.0655367851923,44.0655367851923,NaN]",26,-93.53731518,44.0652321,-93.53724018,44.0652241
27,'Polygon',"[-93.5383102295626,44.0648788380589;-93.5383022295626,44.0649538380589]","[-93.5383022295626,-93.5383022295626,-93.5383102295626,-93.5383102295626,-93.5383022295626,NaN]","[44.0649538380589,44.0648788380589,44.0648788380589,44.0649538380589,44.0649538380589,NaN]",27,-93.53731518,44.0652241,-93.53724018,44.0652161
28,'Polygon',"[-93.5382248852179,44.0650123542735;-93.5382168852179,44.0650873542734]","[-93.5382168852179,-93.5382168852179,-93.5382248852179,-93.5382248852179,-93.5382168852179,NaN]","[44.0650873542734,44.0650123542735,44.0650123542735,44.0650873542734,44.0650873542734,NaN]",28,-93.53731518,44.0652161,-93.53724018,44.0652081
29,'Polygon',"[-93.5381590417809,44.0649317505217;-93.5381510417809,44.0650067505217]","[-93.5381510417809,-93.5381510417809,-93.5381590417809,-93.5381590417809,-93.5381510417809,NaN]","[44.0650067505217,44.0649317505217,44.0649317505217,44.0650067505217,44.0650067505217,NaN]",29,-93.53731518,44.0652081,-93.53724018,44.0652001
30,'Polygon',"[-93.5380916382712,44.0651382001310;-93.5380836382712,44.0652132001310]","[-93.5380836382712,-93.5380836382712,-93.5380916382712,-93.5380916382712,-93.5380836382712,NaN]","[44.0652132001310,44.0651382001310,44.0651382001310,44.0652132001310,44.0652132001310,NaN]",30,-93.53731518,44.0652001,-93.53724018,44.0651921
31,'Polygon',"[-93.5380413955602,44.0653607704905;-93.5380333955602,44.0654357704905]","[-93.5380333955602,-93.5380333955602,-93.5380413955602,-93.5380413955602,-93.5380333955602,NaN]","[44.0654357704905,44.0653607704905,44.0653607704905,44.0654357704905,44.0654357704905,NaN]",31,-93.53731518,44.0651921,-93.53724018,44.0651841
32,'Polygon',"[-93.5379586513365,44.0648978189424;-93.5379506513365,44.0649728189424]","[-93.5379506513365,-93.5379506513365,-93.5379586513365,-93.5379586513365,-93.5379506513365,NaN]","[44.0649728189424,44.0648978189424,44.0648978189424,44.0649728189424,44.0649728189424,NaN]",32,-93.53731518,44.0651841,-93.53724018,44.0651761
33,'Polygon',"[-93.5378978781355,44.0651496406635;-93.5378898781355,44.0652246406635]","[-93.5378898781355,-93.5378898781355,-93.5378978781355,-93.5378978781355,-93.5378898781355,NaN]","[44.0652246406635,44.0651496406635,44.0651496406635,44.0652246406635,44.0652246406635,NaN]",33,-93.53731518,44.0651761,-93.53724018,44.0651681
34,'Polygon',"[-93.5378146561775,44.0654461979577;-93.5378066561775,44.0655211979577]","[-93.5378066561775,-93.5378066561775,-93.5378146561775,-93.5378146561775,-93.5378066561775,NaN]","[44.0655211979577,44.0654461979577,44.0654461979577,44.0655211979577,44.0655211979577,NaN]",34,-93.53724018,44.0654321,-93.53716518,44.0654241
35,'Polygon',"[-93.5377195613789,44.0650619000705;-93.5377115613789,44.0651369000705]","[-93.5377115613789,-93.5377115613789,-93.5377195613789,-93.5377195613789,-93.5377115613789,NaN]","[44.0651369000705,44.0650619000705,44.0650619000705,44.0651369000705,44.0651369000705,NaN]",35,-93.53724018,44.0654241,-93.53716518,44.0654161
36,'Polygon',"[-93.5376720487951,44.0654547783570;-93.5376640487951,44.0655297783570]","[-93.5376640487951,-93.5376640487951,-93.5376720487951,-93.5376720487951,-93.5376640487951,NaN]","[44.0655297783570,44.0654547783570,44.0654547783570,44.0655297783570,44.0655297783570,NaN]",36,-93.53724018,44.0654161,-93.53716518,44.0654081
37,'Polygon',"[-93.5375870944685,44.0649109630451;-93.5375790944685,44.0649859630451]","[-93.5375790944685,-93.5375790944685,-93.5375870944685,-93.5375870944685,-93.5375790944685,NaN]","[44.0649859630451,44.0649109630451,44.0649109630451,44.0649859630451,44.0649859630451,NaN]",37,-93.53724018,44.0654081,-93.53716518,44.0654001
38,'Polygon',"[-93.5374743188470,44.0651825456859;-93.5374663188470,44.0652575456859]","[-93.5374663188470,-93.5374663188470,-93.5374743188470,-93.5374743188470,-93.5374663188470,NaN]","[44.0652575456859,44.0651825456859,44.0651825456859,44.0652575456859,44.0652575456859,NaN]",38,-93.53724018,44.0654001,-93.53716518,44.0653921
39,'Polygon',"[-93.5373319018458,44.0653694943875;-93.5373239018458,44.0654444943875]","[-93.5373239018458,-93.5373239018458,-93.5373319018458,-93.5373319018458,-93.5373239018458,NaN]","[44.0654444943875,44.0653694943875,44.0653694943875,44.0654444943875,44.0654444943875,NaN]",39,-93.53724018,44.0653921,-93.53716518,44.0653841
